Word		Original_feature		Predicted_feature
इसके		any		any
अतिरिक्त		UNK		any
गुग्गुल		m		m
कुंड		m		m
,		UNK		UNK
भीम		m		any
गुफा		f		m
तथा		UNK		m
भीमशिला		f		f
भी		UNK		UNK
दर्शनीय		any		any
स्थल		m		m
हैं		any		any
।		UNK		UNK
आधा		m		m
किमी		m		f
की		f		f
दूरी		f		f
पर		UNK		UNK
भैरवनाथ		m		m
मंदिर		m		any
है		any		any
,		UNK		UNK
जहाँ		UNK		UNK
केवल		UNK		any
केदारनाथ		m		m
के		m		m
पट		m		m
खुलने		any		any
और		UNK		UNK
बंद		any		any
होने		any		any
के		m		UNK
दिन		m		m
ही		UNK		UNK
पूजन		m		m
किया		m		m
जाता		m		m
है		any		any
।		UNK		UNK
भैरव		m		m
का		m		m
स्थान		m		m
उत्तराखंड		m		m
में		UNK		UNK
क्षेत्रपाल		m		m
अथवा		UNK		m
भूमिदेव		m		m
के		m		m
रूप		m		m
में		UNK		UNK
महत्वपूर्ण		any		any
है		any		any
।		UNK		UNK
यह		any		any
सोनप्रयाग		m		m
से		UNK		UNK
5		any		any
किमी		m		f
आगे		m		m
और		UNK		UNK
केदारनाथ		m		m
में		UNK		UNK
6		any		any
किमी		m		f
पहले		m		m
(		UNK		UNK
पैदल		m		m
)		UNK		UNK
पड़ने		any		any
वाला		m		m
एक		any		any
अत्यंत		UNK		any
महत्वपूर्ण		any		any
तीर्थ		m		m
एवं		UNK		UNK
विश्राम		m		m
स्थल		m		m
है		any		any
।		UNK		UNK
इसकी		f		f
ऊँचाई		f		f
केवल		UNK		any
1982		any		UNK
मीटर		m		m
है		any		any
।		UNK		UNK
इंदौर		m		m
में		UNK		UNK
जिस		any		m
प्रकार		m		f
से		UNK		UNK
शेरोंवाली		f		any
माँ		f		f
की		f		f
पूजा		f		f
आस्था		f		f
तथा		UNK		m
विश्वास		m		m
के		UNK		UNK
साथ		m		m
की		f		f
जाती		f		f
है		any		any
उसी		any		any
विश्वास		m		m
के		UNK		UNK
साथ		m		m
कोलकाता		m		m
में		UNK		UNK
काली		f		f
माँ		f		f
की		f		f
पूजा		f		f
की		f		f
जाती		f		f
है		any		any
।		UNK		UNK
जिस		any		any
प्रकार		m		f
शेरोंवाली		f		any
माँ		f		f
के		m		m
मंदिर		m		m
में		UNK		UNK
जगराता		m		m
होता		m		m
है		any		any
,		UNK		UNK
उसी		any		any
प्रकार		m		f
काली		f		f
माँ		f		f
के		m		m
मंदिर		m		m
में		UNK		UNK
जगराता		m		m
होता		m		m
है		any		any
।		UNK		UNK
इसी		any		any
कारण		m		m
कोलकातावासी		m		f
माँ		f		f
काली		m		f
के		m		m
भक्त		m		m
हैं		any		any
तथा		UNK		UNK
उनके		m		m
शक्ति		f		m
रूप		m		m
को		UNK		UNK
मानते		m		m
हैं		any		any
।		UNK		UNK
काली		f		f
मंदिर		m		m
में		UNK		UNK
दर्शन		m		m
किए		m		any
बिना		UNK		m
कोलकाता		m		m
की		f		f
सैर		f		f
अधूरी		f		f
मानी		f		f
जाती		f		f
है		any		any
।		UNK		UNK
कोलकाता		m		m
के		m		m
उत्तर		m		m
में		UNK		UNK
विवेकानंद		m		m
पुल		m		m
के		UNK		UNK
पास		m		m
दक्षिणेश्वर		m		m
काली		f		f
मंदिर		m		m
स्थित		any		any
है		any		any
।		UNK		UNK
यह		any		any
मंदिर		m		m
बीबीडी		m		m
बाग		m		m
से		UNK		UNK
20		any		any
किलोमीटर		m		m
दूर		m		m
है		any		any
।		UNK		UNK
दक्षिणेश्वर		m		m
मंदिर		m		m
का		m		m
निर्माण		m		m
सन		m		any
1847		any		m
में		UNK		UNK
प्रारंभ		m		any
हुआ		m		m
था		m		m
।		UNK		UNK
जान		m		m
बाजार		m		m
की		f		f
महारानी		f		any
रासमणि		f		f
ने		UNK		UNK
स्वप्न		m		m
देखा		m		m
था		m		m
,		UNK		UNK
जिसके		any		any
अनुसार		UNK		UNK
माँ		f		m
काली		f		f
ने		UNK		UNK
उन्हें		any		any
निर्देश		m		m
दिया		m		m
कि		UNK		UNK
मंदिर		m		m
का		m		m
निर्माण		m		m
किया		m		m
जाए		any		m
।		UNK		UNK
इस		any		any
भव्य		any		m
मंदिर		m		m
में		UNK		UNK
माँ		f		f
की		f		f
मूर्ति		f		f
श्रद्धापूर्वक		UNK		any
स्थापित		any		any
की		f		f
गई		f		f
।		UNK		UNK
सन		m		any
1855		any		m
में		UNK		UNK
मंदिर		m		m
का		m		m
निर्माण		m		m
पूरा		m		m
हुआ		m		m
।		UNK		UNK
यह		any		any
मंदिर		m		m
25		any		any
एकड़		m		any
क्षेत्र		m		m
में		UNK		UNK
स्थित		any		any
है		any		any
।		UNK		UNK
अमेरिका		m		m
सद्दाम		m		m
हुसैन		m		m
की		f		f
न्यायिक		any		any
हिरासत		f		f
इराक		m		m
की		f		f
अंतरिम		any		any
सरकार		f		f
को		UNK		UNK
सौंपने		any		any
पर		UNK		UNK
विचार		m		m
कर		m		any
रहा		m		m
है		any		any
लेकिन		UNK		UNK
वह		any		any
सद्दाम		m		m
को		UNK		UNK
अपनी		f		f
सेना		f		f
के		m		m
कब्जे		m		m
में		UNK		UNK
ही		UNK		UNK
रखेगा		m		m
।		UNK		UNK
घाजी		m		any
तलाबानी		m		f
नाम		m		m
के		m		m
अधिकारी		m		m
की		f		f
काम		m		f
करने		any		any
जाते		any		m
समय		m		m
हत्या		f		f
की		f		f
गई		f		f
।		UNK		UNK
इराक		m		m
स्थित		any		any
अमेरिकी		any		any
प्रशासक		m		m
एल.		m		m
पॉल		m		m
ब्रेमर		m		m
ने		UNK		UNK
कहा		m		m
कि		UNK		UNK
अगर		UNK		UNK
इराक		m		m
के		m		m
नए		m		m
प्रधानमंत्री		m		m
सद्दाम		m		m
हुसैन		m		m
को		UNK		UNK
अपनी		f		f
सरकार		f		f
की		f		f
हिरासत		f		f
में		UNK		UNK
देने		any		any
की		f		f
माँग		f		f
करते		m		m
हैं		any		any
तो		UNK		UNK
अमेरिका		m		m
उनकी		f		f
न्यायिक		any		any
हिरासत		f		f
सौंपने		any		any
के		UNK		UNK
बारे		UNK		UNK
में		UNK		UNK
विचार		m		any
कर		m		any
सकता		m		m
है		any		any
।		UNK		UNK
पाकिस्तान		m		m
में		UNK		UNK
आयोजित		any		any
होने		any		any
वाले		m		m
दो		any		any
दिवसीय		any		any
सार्क		m		m
विदेश		m		m
मंत्रियों		m		m
के		m		m
सम्मेलन		m		m
में		UNK		UNK
हिस्सा		m		f
लेने		any		any
के		UNK		UNK
लिए		UNK		UNK
भारतीय		any		any
विदेश		m		m
मंत्री		m		m
के		m		m
नटवर		m		m
सिंह		m		m
सोमवार		m		m
को		UNK		UNK
एक		any		any
विशेष		any		any
विमान		m		m
से		UNK		UNK
इस्लामाबाद		m		m
के		UNK		UNK
लिए		UNK		UNK
रवाना		any		any
होंगे		m		m
।		UNK		UNK
संभावना		f		f
जताई		f		f
जा		any		any
रही		f		f
है		any		any
कि		UNK		UNK
वह		any		any
पाकिस्तान		m		m
में		UNK		UNK
पाँच		any		any
दिन		m		m
रहेंगे		m		m
और		UNK		UNK
इस		any		any
दौरान		m		m
वह		any		any
राष्ट्रपति		m		m
परवेज़		m		m
मुशर्रफ		m		m
से		UNK		UNK
दो		any		any
बार		f		f
मुलाक़ात		f		f
कर		m		m
सकते		m		m
हैं		any		any
।		UNK		UNK
पाकिस्तानी		any		any
अधिकारियों		m		m
के		UNK		UNK
मुताबिक		UNK		UNK
,		UNK		UNK
विदेश		m		m
मंत्रियों		m		m
के		m		m
सम्मेलन		m		m
का		m		m
उद्घाटन		m		m
पाकिस्तान		m		m
के		m		m
अंतरिम		any		any
प्रधानमंत्री		m		m
शुजात		m		m
हुसैन		m		m
करेंगे		m		m
।		UNK		UNK
अमरनाथ		m		m
गुफा		f		m
