Word		Original_feature		Predicted_feature
इसके		3		3
अतिरिक्त		UNK		UNK
गुग्गुल		3		3
कुंड		3		3
,		UNK		UNK
भीम		3		3
गुफा		3		3
तथा		UNK		UNK
भीमशिला		3		3
भी		UNK		UNK
दर्शनीय		UNK		UNK
स्थल		3		3
हैं		3		3
।		UNK		UNK
कोलकाता		3		3
के		UNK		UNK
उत्तर		3		3
में		UNK		UNK
विवेकानंद		3		UNK
पुल		3		3
के		UNK		UNK
पास		3		3
दक्षिणेश्वर		3		3
काली		3		UNK
मंदिर		3		3
स्थित		UNK		UNK
है		3		3
।		UNK		UNK
कहते		3		3
हैं		3		3
मोहब्बत		3		3
और		UNK		UNK
जंग		3		3
में		UNK		UNK
सब		UNK		3
कुछ		3		3
जायज		UNK		UNK
है		3		3
।		UNK		UNK
काँची		3		3
कामकोटि		3		3
पीठ		3		3
के		UNK		UNK
शंकराचार्य		3		3
जयेंद्र		3		3
सरस्वती		3		3
को		UNK		UNK
कोर्ट		3		3
ने		UNK		UNK
आज		3		3
भी		UNK		UNK
किसी		3		3
तरह		3		3
की		UNK		UNK
राहत		3		3
नहीं		UNK		UNK
दी		any		any
।		UNK		UNK
सरकार		3		3
एड्स		3		3
के		UNK		UNK
मुफ्त		UNK		UNK
इलाज		3		3
की		UNK		UNK
सुविधा		3		3
को		UNK		UNK
और		UNK		UNK
अधिक		UNK		UNK
समय		3		3
के		UNK		UNK
लिए		UNK		UNK
बढ़ा		3		3
रही		any		any
है		3		3
।		UNK		UNK
दिल्ली		3		3
विश्वविद्यालय		3		3
की		UNK		UNK
तरह		UNK		UNK
रैगिंग		3		3
का		UNK		UNK
साया		3		any
अब		UNK		UNK
गुड़गाँव		3		3
के		UNK		UNK
कॉलेजों		3		3
पर		UNK		UNK
भी		UNK		UNK
पड़ने		3		3
लगा		any		any
है		3		3
।		UNK		UNK
उत्तर		3		3
भारत		3		3
के		UNK		UNK
कई		UNK		UNK
स्थानों		3		3
में		UNK		UNK
बृहस्पतिवार		3		3
की		UNK		UNK
सुबह		3		3
तक		UNK		UNK
भारी		UNK		UNK
वर्षा		3		3
रिकॉर्ड		3		UNK
की		any		any
गई		any		any
।		UNK		UNK
देश		3		3
का		UNK		UNK
एक		UNK		UNK
तिहाई		UNK		UNK
हिस्सा		3		3
सूखे		3		3
की		UNK		UNK
चपेट		3		3
में		UNK		UNK
आ		3		3
चुका		any		any
है		3		3
।		UNK		UNK
सरकारी		UNK		UNK
क्षेत्र		3		3
के		UNK		UNK
बैंकों		3		3
के		UNK		UNK
प्रमुख		3		UNK
सोमवार		3		3
को		UNK		UNK
वित्त		3		3
मंत्री		3		3
पी.		3		3
चिदंबरम		3		3
से		UNK		UNK
मिलेंगे		3		3
।		UNK		UNK
