Word		Original_root		Predicted_root
صدر		صدر		صدر
تلگودیشم		تلگودیشم		تلگودیشم
مسٹر		مسٹر		مسٹر
این		این		این
چندرا		چندرا		چندرا
بابو		بابو		بابو
نائیڈو		نائیڈو		نائیڈو
نے		نے		نے
کڑپہ		کڑپہ		کڑپہ
کے		کا		کا
ضمنی		ضمنی		ضمنی
انتخابات		انتخاب		انتخاب
مےں		مےں		مےں
اضافی		اضافی		اضافی
فورسیس		فورسی		فورسیس
کی		کا		کا
تعیناتی		تعیناتی		تعیناتی
کا		کا		کا
مطالبہ		مطالبہ		مطالبہ
کرتے		کر		کر
ہوئے		ہو		ہو
چیف		چیف		چیف
الیکشن		الیکشن		الیکشن
کمشنر		کمشنر		کمشنر
کو		کو		کو
مکتوب		مکتوب		مکتوب
روانہ		روانہ		روانہ
کیا		کر		کر
۔		۔		۔
انہوں		وہ		وہ
نے		نے		نے
کڑپہ		کڑپہ		کڑپہ
کے		کا		کا
پارلیمانی		پارلیمانی		پارلیمانی
اور		اور		اور
پولی		پولی		پولی
ویندلہ		ویندلہ		ویندلہ
کے		کا		کا
اسمبلی		اسمبلی		اسمبلی
انتخابات		انتخاب		انتخاب
کو		کو		کو
صاف		صاف		صاف
و		و		و
شفاف		شفاف		شفاف
بنانے		بنا		بنا
کے		کے		کا
لئے		لئے		لئے
زائد		زائد		زائد
پولیس		پولیس		پولیس
فورس		فورس		فورس
تعینات		تعینات		تعین
کرنے		کر		کر
کا		کا		کا
مطالبہ		مطالبہ		مطالبہ
کرتے		کر		کر
ہوئے		ہو		ہو
کہا		کہہ		کہہ
کہ		کہ		کہ
ان		یہ		یہ
انتخابات		انتخاب		انتخاب
مےں		مےں		مےں
غیرسماجی		غیرسماجی		غیرسماجی
عناصر		عنصر		عناصر
کی		کا		کا
جانب		جانب		جانب
سے		سے		سے
بدامنی		بدامنی		بدامنی
پھیلائے		پھیل		پھیلا
جانے		جا		جا
کا		کا		کا
خدشہ		خدشہ		خدشہ
ہے		ہے		ہے
۔		۔		۔
مسٹر		مسٹر		مسٹر
نائیڈو		نائیڈو		نائیڈو
نے		نے		نے
اپنے		اپنا		اپنا
مکتوب		مکتوب		مکتوب
مےں		مےں		مےں
چیف		چیف		چیف
