Word		Original_feature		Predicted_feature
صدر		3		3
تلگودیشم		3		3
مسٹر		UNK		UNK
این		3		3
چندرا		3		3
بابو		3		3
نائیڈو		3		3
نے		UNK		UNK
کڑپہ		3		3
کے		UNK		UNK
ضمنی		UNK		UNK
انتخابات		3		3
مےں		UNK		UNK
اضافی		UNK		UNK
فورسیس		3		3
کی		UNK		UNK
تعیناتی		3		3
کا		UNK		UNK
مطالبہ		3		3
کرتے		any		any
ہوئے		any		any
چیف		3		3
الیکشن		3		3
کمشنر		3		3
کو		UNK		UNK
مکتوب		3		3
روانہ		UNK		UNK
کیا		any		3
۔		UNK		UNK
انہوں		3h		3h
نے		UNK		UNK
کڑپہ		3		3
کے		UNK		UNK
پارلیمانی		UNK		3
اور		UNK		UNK
پولی		3		3
ویندلہ		3		3
کے		UNK		UNK
اسمبلی		UNK		3
انتخابات		3		3
کو		UNK		UNK
صاف		UNK		UNK
و		UNK		UNK
شفاف		UNK		UNK
بنانے		any		any
کے		UNK		UNK
لئے		UNK		UNK
زائد		UNK		UNK
پولیس		3		3
فورس		3		3
تعینات		3		3
کرنے		any		any
کا		UNK		UNK
مطالبہ		3		3
کرتے		any		any
ہوئے		any		any
کہا		any		any
کہ		UNK		UNK
ان		3		3
انتخابات		3		3
مےں		UNK		UNK
غیرسماجی		UNK		UNK
عناصر		3		3
کی		UNK		UNK
جانب		3		3
سے		UNK		UNK
بدامنی		3		3
پھیلائے		any		any
جانے		any		any
کا		UNK		UNK
خدشہ		3		3
ہے		3		3
۔		UNK		UNK
مسٹر		UNK		UNK
نائیڈو		3		3
نے		UNK		UNK
اپنے		3h		any
مکتوب		3		3
مےں		UNK		UNK
چیف		3		3
الیکشن		3		3
کمشنر		3		3
سے		UNK		UNK
NULL		UNK		UNK
خواہش		3		3
کی		any		any
کہ		UNK		UNK
وہ		3		3
ہر		UNK		UNK
حلقہ		3		3
اسمبلی		3		3
مےں		UNK		UNK
علحدہ		UNK		UNK
علحدہ		UNK		UNK
فورس		3		3
کی		UNK		UNK
تعیناتی		3		3
کو		UNK		UNK
یقینی		UNK		UNK
بنانے		any		any
کے		UNK		UNK
اقدامات		3		3
کریں		any		any
تاکہ		UNK		UNK
آزادانہ		UNK		UNK
و		UNK		UNK
منصفانہ		UNK		UNK
انتخابات		3		3
کو		UNK		UNK
یقینی		UNK		UNK
بنایا		any		any
جا		any		any
سکے		any		any
۔		UNK		UNK
NULL		UNK		UNK
واضح		UNK		UNK
رہے		any		any
کہ		UNK		UNK
گزشتہ		UNK		UNK
یوم		3		3
مسٹر		UNK		UNK
نائیڈو		3		3
پر		UNK		UNK
ضلع		3		3
کڑپہ		3		3
مےں		UNK		UNK
ہوئے		any		any
حملہ		3		3
کے		UNK		UNK
بعد		3		3
مسٹر		UNK		UNK
نائیڈو		3		3
نے		UNK		UNK
اس		3		3
طرح		3		3
کے		UNK		UNK
واقعات		3		3
کا		UNK		UNK
حوالہ		3		3
دیتے		any		any
ہوئے		any		any
کہا		any		any
کہ		UNK		UNK
ضلع		3		3
کڑپہ		3		3
مےں		UNK		UNK
گروہ_واری		UNK		3
عناصر		3		3
انتخابات		3		3
مےں		UNK		UNK
دھاندلیوں		3		3
کی		UNK		UNK
منصوبہ_بندی		3		3
کر		any		any
رہے		any		any
ہیں		3		3
۔		UNK		UNK
انہوں		3h		3h
نے		UNK		UNK
بتایا		any		any
کہ		UNK		UNK
جمہوریت		3		3
کی		UNK		UNK
بقاء		3		3
کے		UNK		UNK
لئے		UNK		UNK
یہ		3		3
ضروری		UNK		UNK
ہے		3		3
کہ		UNK		UNK
چیف		3		3
الیکشن		3		3
کمشنر		3		3
کی		UNK		UNK
جانب		3		3
سے		UNK		UNK
ان		3		3
انتخابات		3		3
کی		UNK		UNK
راست		UNK		UNK
نگرانی		3		3
اور		UNK		UNK
غنڈہ		UNK		3
عناصر		3		3
پر		UNK		UNK
کنٹرول		3		3
کے		UNK		UNK
لئے		UNK		UNK
سخت_ترین		UNK		UNK
انتظامات		3		3
کئے		any		any
جائیں		any		any
۔		UNK		UNK
مسٹر		UNK		UNK
نائیڈو		3		3
نے		UNK		UNK
سی		3		3
ای		3		3
سی		3		3
کو		UNK		UNK
روانہ_کردہ		UNK		UNK
مکتوب		3		3
مےں		UNK		UNK
اس		3		3
بات		3		3
کی		UNK		UNK
طرف		3		3
بھی		UNK		UNK
اشارہ		3		3
کیا		any		any
کہ		UNK		UNK
علاقے		3		3
مےں		UNK		UNK
وائی		3		3
ایس		3		3
جگن		3		3
موہن		3		3
ریڈی		3		3
کی		UNK		UNK
جانب		3		3
سے		UNK		UNK
بدعنوانیوں		3		3
و		UNK		UNK
بےقاعدگیوں		3		3
کے		UNK		UNK
ذریعہ		UNK		UNK
حاصل_کردہ		UNK		UNK
دولت		3		3
کے		UNK		UNK
استعمال		3		3
کے		UNK		UNK
ذریعہ		UNK		UNK
رائےدہندوں		3		3
کو		UNK		UNK
راغب		UNK		UNK
کرنے		any		any
کی		UNK		UNK
کوشش		3		3
کی		any		any
جا		any		any
رہی		any		any
ہے		3		3
جو		3		3
کہ		UNK		UNK
انتخابی		UNK		UNK
ضابطہ		3		3
اخلاق		3		3
کی		UNK		UNK
سنگین		UNK		3
خلاف_ورزی		3		3
ہے		3		3
-		UNK		UNK
اےک		UNK		UNK
شخص		3		3
نے		UNK		UNK
مبینہ		UNK		UNK
طور		3		3
پر		UNK		UNK
اپنی		1		any
منگیتر		3		3
اور		UNK		UNK
اس		3		3
کے		UNK		UNK
والدین		3		3
پر		UNK		UNK
چاقو		3		3
سے		UNK		UNK
حملہ		3		3
کر		any		any
کے		UNK		any
زخمی		UNK		3
کر		any		any
دیا		any		3
۔		UNK		UNK
پولیس		3		3
نے		UNK		UNK
بتایا		any		any
کہ		UNK		UNK
نوجوان		UNK		UNK
لڑکی		3		3
کی		UNK		UNK
پاک_دامنی		3		3
پر		UNK		UNK
شبہ		3		3
کرتے		any		any
ہوئے		any		any
حملہ		3		3
کیا		any		3
۔		UNK		UNK
ڈی		3		3
بھارت		3		3
کرشنا		3		3
خانگی		UNK		UNK
ملازم		3		3
جو		3		3
24		UNK		UNK
سالہ		UNK		UNK
خاتون		3		3
فروین		3		3
صنم		3		3
متعلم		UNK		UNK
ایم		3		3
کام		3		3
سے		UNK		UNK
عشق		3		3
کرتا		any		any
تھا		3		3
۔		UNK		UNK
دونوں		3		UNK
کے		UNK		UNK
ارکان		3		3
خاندان		3		3
ان		3		3
کی		UNK		UNK
اس		3		3
سال		3		3
فبروری		3		3
مےں		UNK		UNK
منگنی		3		UNK
کرنے		any		any
کے		UNK		UNK
بعد		3		3
شادی		3		3
سے		UNK		UNK
اتفاق		3		3
کیا		any		any
تھا		3		3
اور		UNK		UNK
21		3		3
مئی		3		3
کو		UNK		UNK
شادی		3		3
مقرر		UNK		UNK
تھی		3		3
۔		UNK		UNK
تاہم		UNK		UNK
بھارت		3		3
کرشنا		3		3
کو		UNK		UNK
اپنی		1		any
منگیتر		3		3
کے		UNK		UNK
چال		3		3
و		UNK		UNK
چلن		3		3
پر		UNK		UNK
شبہ		3		3
ہوا		any		any
اور		UNK		UNK
الزام		3		3
عائد		UNK		UNK
کیا		any		any
کہ		UNK		UNK
وہ		3		3
کسی		3		3
اور		UNK		UNK
شخص		3		3
کے		UNK		UNK
ساتھ		3		3
تعلقات		3		3
رکھتی		any		any
ہے		3		3
۔		UNK		UNK
آج		3		3
شام		3		3
وہ		3		3
اپنی		any		any
منگیتر		3		3
کے		UNK		UNK
گھر		3		3
گیا		any		any
اور		UNK		UNK
بحث		3		3
کرتے		any		any
ہوئے		any		any
اس		3		3
شخص		3		3
